min_score,sl_pips,rr,trades,win_rate,profit_factor,max_dd_pct,max_dd_abs,return_pct,net_pnl,sharpe,ftmo_ok,reason
7,10.0,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,10.0,2.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,10.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,12.0,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,12.0,2.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,12.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,15.0,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,15.0,2.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,15.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,20.0,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,20.0,2.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,20.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
