entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,score,risk_eur,pnl,balance,choch,ob,liq,fvg,pd,bos,sd
2025-10-22 11:15:00,2025-10-22 18:00:00,SHORT,1.15917,1.16117,1.15317,1.16117,LOSS,5,100.0,-100.0,9900.0,True,True,True,True,False,True,True
2025-10-24 10:45:00,2025-10-24 15:30:00,SHORT,1.16213,1.16413,1.15613,1.16413,LOSS,5,99.0,-99.0,9801.0,False,True,True,True,True,False,True
2025-11-11 10:00:00,2025-11-11 15:15:00,SHORT,1.156,1.158,1.15,1.158,LOSS,5,98.01,-98.01,9702.99,False,True,True,True,True,False,True
2025-11-12 09:00:00,2025-11-13 09:30:00,SHORT,1.15822,1.16022,1.15222,1.16022,LOSS,5,97.0299,-97.0299,9605.9601,False,False,True,True,False,True,False
2025-11-13 12:15:00,2025-11-13 17:30:00,SHORT,1.16162,1.16362,1.15562,1.16362,LOSS,5,96.059601,-96.059601,9509.900499,False,True,True,True,True,False,True
2025-11-14 09:15:00,2025-11-17 17:00:00,SHORT,1.16421,1.16621,1.15821,1.15821,WIN,5,95.09900499,285.29701496999996,9795.197513969999,False,True,True,True,True,False,False
2025-11-18 11:00:00,2025-11-19 19:15:00,SHORT,1.15908,1.1610800000000001,1.15308,1.15308,WIN,5,97.95197513969998,293.85592541909995,10089.0534393891,False,True,True,True,False,True,False
2025-11-20 08:15:00,2025-11-20 16:15:00,SHORT,1.15214,1.15414,1.14614,1.15414,LOSS,5,100.89053439389099,-100.89053439389099,9988.162904995208,False,True,True,True,False,True,True
2025-11-21 12:15:00,2025-11-24 12:00:00,SHORT,1.15171,1.15371,1.14571,1.15371,LOSS,5,99.88162904995208,-99.88162904995208,9888.281275945255,False,False,True,True,False,True,False
2025-11-24 20:15:00,2025-11-25 12:15:00,SHORT,1.15209,1.15409,1.14609,1.15409,LOSS,5,98.88281275945255,-98.88281275945255,9789.398463185802,False,True,False,True,False,True,False
2025-12-09 08:15:00,2025-12-09 17:00:00,LONG,1.16431,1.16231,1.17031,1.16231,LOSS,5,97.89398463185802,-97.89398463185802,9691.504478553945,False,False,True,True,False,True,False
2025-12-09 18:45:00,2025-12-10 22:00:00,LONG,1.16369,1.16169,1.16969,1.16969,WIN,5,96.91504478553945,290.74513435661834,9982.249612910564,False,True,True,True,False,False,False
2025-12-12 03:45:00,2025-12-16 16:45:00,LONG,1.17369,1.17169,1.17969,1.17969,WIN,5,99.82249612910564,299.46748838731696,10281.717101297882,False,True,True,True,True,True,True
2025-12-16 17:15:00,2025-12-16 17:45:00,LONG,1.17876,1.17676,1.18476,1.17676,LOSS,5,102.81717101297882,-102.81717101297882,10178.899930284902,False,True,False,True,False,True,True
2025-12-16 18:00:00,2025-12-16 20:15:00,LONG,1.177,1.175,1.183,1.175,LOSS,5,101.78899930284902,-101.78899930284902,10077.110930982053,False,True,False,True,True,True,False
2025-12-17 15:15:00,2025-12-23 09:45:00,LONG,1.17211,1.17011,1.17811,1.17811,WIN,5,100.77110930982053,302.3133279294616,10379.424258911515,True,True,False,True,True,True,True
2025-12-31 13:00:00,2026-01-02 12:00:00,LONG,1.17391,1.17191,1.17991,1.17191,LOSS,5,103.79424258911514,-103.79424258911514,10275.630016322399,True,False,True,True,False,True,False
2026-01-05 17:15:00,2026-01-07 10:15:00,LONG,1.16943,1.16743,1.17543,1.16743,LOSS,6,102.75630016322398,-102.75630016322398,10172.873716159174,True,True,True,True,False,True,True
2026-01-07 18:15:00,2026-01-08 15:45:00,LONG,1.16831,1.16631,1.17431,1.16631,LOSS,5,101.72873716159174,-101.72873716159174,10071.144978997583,False,True,True,True,True,True,False
2026-01-09 18:00:00,2026-01-15 14:45:00,LONG,1.16406,1.16206,1.17006,1.16206,LOSS,5,100.71144978997583,-100.71144978997583,9970.433529207607,True,True,True,True,False,True,False
2026-02-11 04:30:00,2026-02-11 15:30:00,LONG,1.19073,1.18873,1.19673,1.18873,LOSS,5,99.70433529207607,-99.70433529207607,9870.729193915531,True,True,True,True,True,True,True
2026-02-12 09:45:00,2026-02-13 09:00:00,LONG,1.18716,1.18516,1.19316,1.18516,LOSS,5,98.70729193915531,-98.70729193915531,9772.021901976375,True,True,True,True,False,True,True
2026-02-24 17:45:00,2026-02-25 06:45:00,SHORT,1.17745,1.17945,1.17145,1.17945,LOSS,5,97.72021901976376,-97.72021901976376,9674.301682956611,False,False,True,True,False,True,False
2026-02-26 10:15:00,2026-02-27 19:00:00,SHORT,1.18068,1.18268,1.17468,1.18268,LOSS,5,96.74301682956612,-96.74301682956612,9577.558666127044,False,True,True,True,False,True,True
2026-02-27 21:30:00,2026-03-02 00:15:00,SHORT,1.18221,1.18421,1.17621,1.17621,WIN,5,95.77558666127044,287.3267599838113,9864.885426110855,False,True,True,True,True,False,False
2026-03-02 00:30:00,2026-03-02 01:00:00,SHORT,1.17608,1.17808,1.17008,1.17808,LOSS,5,98.64885426110855,-98.64885426110855,9766.236571849748,False,True,False,True,False,True,True
2026-03-02 01:15:00,2026-03-02 09:15:00,SHORT,1.17772,1.17972,1.17172,1.17172,WIN,5,97.66236571849748,292.98709715549245,10059.22366900524,False,True,False,True,False,True,True
2026-03-02 22:15:00,2026-03-03 03:15:00,SHORT,1.16799,1.16999,1.16199,1.16999,LOSS,5,100.5922366900524,-100.5922366900524,9958.631432315187,False,True,True,True,False,True,True
2026-03-03 23:15:00,2026-03-04 12:00:00,SHORT,1.16144,1.16344,1.15544,1.16344,LOSS,5,99.58631432315187,-99.58631432315187,9859.045117992035,False,True,True,True,True,False,False
2026-03-09 11:45:00,2026-03-09 12:15:00,SHORT,1.15268,1.15468,1.14668,1.15468,LOSS,5,98.59045117992035,-98.59045117992035,9760.454666812115,True,False,True,True,False,True,False
2026-03-09 12:45:00,2026-03-09 16:15:00,SHORT,1.15556,1.15756,1.14956,1.15756,LOSS,6,97.60454666812115,-97.60454666812115,9662.850120143994,True,True,True,True,True,True,False
2026-03-11 03:15:00,2026-03-11 10:15:00,SHORT,1.16217,1.16417,1.15617,1.16417,LOSS,5,96.62850120143995,-96.62850120143995,9566.221618942554,False,False,True,True,False,True,False
2026-03-11 11:00:00,2026-03-12 01:30:00,SHORT,1.16172,1.16372,1.15572,1.15572,WIN,5,95.66221618942555,286.9866485682767,9853.20826751083,False,True,True,True,False,False,True
2026-03-12 12:30:00,2026-03-13 09:30:00,SHORT,1.15551,1.15751,1.14951,1.14951,WIN,5,98.5320826751083,295.5962480253249,10148.804515536156,False,True,True,True,True,False,False
2026-03-16 19:45:00,2026-03-16 21:15:00,SHORT,1.14922,1.15122,1.14322,1.15122,LOSS,5,101.48804515536156,-101.48804515536156,10047.316470380794,True,True,True,True,True,True,False
2026-03-17 08:45:00,2026-03-17 11:30:00,SHORT,1.14875,1.15075,1.14275,1.15075,LOSS,5,100.47316470380794,-100.47316470380794,9946.843305676986,False,True,False,True,False,True,True
2026-03-18 04:00:00,2026-03-18 14:15:00,SHORT,1.15326,1.15526,1.14726,1.15526,LOSS,5,99.46843305676987,-99.46843305676987,9847.374872620216,False,False,True,True,True,True,False
2026-03-18 15:45:00,2026-03-18 23:15:00,SHORT,1.15167,1.15367,1.14567,1.14567,WIN,5,98.47374872620216,295.42124617860645,10142.796118798822,False,False,True,True,False,True,False
2026-03-18 23:30:00,2026-03-19 03:45:00,SHORT,1.14525,1.14725,1.13925,1.14725,LOSS,5,101.42796118798822,-101.42796118798822,10041.368157610834,True,True,False,True,False,True,True
2026-03-19 09:30:00,2026-03-19 15:30:00,SHORT,1.14688,1.14888,1.14088,1.14888,LOSS,5,100.41368157610833,-100.41368157610833,9940.954476034725,True,True,False,True,False,True,False
2026-03-20 19:15:00,2026-03-23 12:45:00,SHORT,1.15571,1.15771,1.14971,1.14971,WIN,5,99.40954476034726,298.22863428104176,10239.183110315767,False,True,False,True,True,True,False
2026-03-24 12:45:00,2026-03-24 23:15:00,SHORT,1.15945,1.16145,1.15345,1.16145,LOSS,5,102.39183110315767,-102.39183110315767,10136.79127921261,False,True,True,True,False,False,False
2026-03-26 04:15:00,2026-03-27 15:00:00,SHORT,1.15634,1.15834,1.15034,1.15034,WIN,5,101.3679127921261,304.1037383763783,10440.895017588988,False,True,True,True,False,True,False
2026-03-31 02:15:00,2026-03-31 03:45:00,SHORT,1.14526,1.14726,1.13926,1.14726,LOSS,5,104.40895017588987,-104.40895017588987,10336.486067413098,True,True,True,True,False,True,True
2026-03-31 04:00:00,2026-03-31 15:00:00,SHORT,1.14745,1.14945,1.14145,1.14945,LOSS,5,103.36486067413098,-103.36486067413098,10233.121206738966,True,True,True,True,True,True,True
2026-04-22 01:00:00,2026-04-22 17:45:00,LONG,1.17398,1.17198,1.17998,1.17198,LOSS,5,102.33121206738966,-102.33121206738966,10130.789994671577,False,True,True,True,True,False,False
