entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,score,risk_eur,pnl,balance,choch,ob,liq,fvg,pd,bos,sd
2025-10-23 02:15:00,2025-10-24 15:30:00,SHORT,1.16085,1.16285,1.15485,1.16285,LOSS,5,100.0,-100.0,9900.0,True,True,True,True,False,True,True
2025-10-24 23:45:00,2025-10-27 04:10:00,SHORT,1.16211,1.16411,1.15611,1.16411,LOSS,5,99.0,-99.0,9801.0,True,True,True,True,False,True,True
2025-11-10 02:10:00,2025-11-10 09:35:00,SHORT,1.15474,1.15674,1.14874,1.15674,LOSS,5,98.01,-98.01,9702.99,False,True,True,True,False,True,False
2025-11-10 09:40:00,2025-11-11 15:20:00,SHORT,1.15706,1.15906,1.15106,1.15906,LOSS,5,97.0299,-97.0299,9605.9601,True,True,True,True,True,True,True
2025-11-13 02:05:00,2025-11-13 09:50:00,SHORT,1.15889,1.16089,1.15289,1.16089,LOSS,5,96.059601,-96.059601,9509.900499,True,True,True,True,False,True,True
2025-11-17 15:10:00,2025-11-19 19:20:00,SHORT,1.15922,1.16122,1.15322,1.15322,WIN,5,95.09900499,285.29701496999996,9795.197513969999,False,True,True,True,False,True,True
2025-11-20 10:45:00,2025-11-20 16:25:00,SHORT,1.15205,1.15405,1.14605,1.15405,LOSS,5,97.95197513969998,-97.95197513969998,9697.245538830299,False,True,True,True,True,True,False
2025-11-21 18:25:00,2025-11-21 23:15:00,SHORT,1.15003,1.15203,1.14403,1.15203,LOSS,5,96.97245538830299,-96.97245538830299,9600.273083441996,False,True,False,True,False,True,False
2025-11-24 00:10:00,2025-11-24 10:20:00,SHORT,1.15107,1.15307,1.14507,1.15307,LOSS,5,96.00273083441996,-96.00273083441996,9504.270352607577,True,True,True,True,False,True,True
2025-11-25 05:30:00,2025-11-25 14:40:00,SHORT,1.15211,1.15411,1.14611,1.15411,LOSS,5,95.04270352607577,-95.04270352607577,9409.2276490815,True,True,True,True,False,True,True
2026-02-26 08:45:00,2026-03-02 00:15:00,SHORT,1.182,1.184,1.176,1.176,WIN,5,94.092276490815,282.276829472445,9691.504478553945,True,True,True,True,True,True,False
2026-03-02 17:40:00,2026-03-02 21:50:00,SHORT,1.16932,1.17132,1.16332,1.17132,LOSS,5,96.91504478553945,-96.91504478553945,9594.589433768406,False,True,True,True,False,True,True
2026-03-03 09:20:00,2026-03-03 11:35:00,SHORT,1.16674,1.1687400000000001,1.16074,1.16074,WIN,5,95.94589433768405,287.83768301305213,9882.427116781459,False,True,True,True,False,True,False
2026-03-04 19:50:00,2026-03-05 17:35:00,SHORT,1.16342,1.16542,1.15742,1.15742,WIN,5,98.82427116781459,296.4728135034438,10178.899930284902,True,True,True,True,True,True,False
2026-03-06 03:30:00,2026-03-06 16:05:00,SHORT,1.16073,1.16273,1.15473,1.15473,WIN,5,101.78899930284902,305.3669979085471,10484.26692819345,True,True,True,True,False,True,True
2026-03-06 16:10:00,2026-03-06 16:40:00,SHORT,1.15487,1.15687,1.14887,1.15687,LOSS,5,104.8426692819345,-104.8426692819345,10379.424258911517,True,True,True,True,False,True,True
2026-03-06 21:20:00,2026-03-09 00:05:00,SHORT,1.16089,1.16289,1.15489,1.15489,WIN,5,103.79424258911517,311.3827277673455,10690.806986678863,True,True,True,True,True,True,False
2026-03-10 13:35:00,2026-03-10 18:40:00,SHORT,1.1634,1.1654,1.1574,1.1654,LOSS,5,106.90806986678862,-106.90806986678862,10583.898916812073,False,True,True,True,False,True,True
2026-03-11 10:30:00,2026-03-11 18:40:00,SHORT,1.16302,1.16502,1.15702,1.15702,WIN,5,105.83898916812073,317.5169675043622,10901.415884316435,True,True,True,True,False,True,False
2026-03-12 08:05:00,2026-03-12 12:30:00,SHORT,1.15376,1.15576,1.14776,1.15576,LOSS,5,109.01415884316435,-109.01415884316435,10792.40172547327,False,True,True,True,False,True,True
2026-03-13 17:35:00,2026-03-13 22:50:00,SHORT,1.14807,1.15007,1.14207,1.14207,WIN,5,107.9240172547327,323.7720517641981,11116.173777237467,True,True,True,True,True,True,False
2026-03-16 19:30:00,2026-03-16 19:50:00,SHORT,1.14793,1.14993,1.14193,1.14993,LOSS,5,111.16173777237468,-111.16173777237468,11005.012039465093,True,True,True,True,False,True,True
2026-03-16 20:05:00,2026-03-16 21:25:00,SHORT,1.14986,1.15186,1.14386,1.15186,LOSS,5,110.05012039465093,-110.05012039465093,10894.961919070442,True,True,True,True,True,True,True
2026-03-17 04:20:00,2026-03-17 11:40:00,SHORT,1.14874,1.15074,1.14274,1.15074,LOSS,5,108.94961919070441,-108.94961919070441,10786.012299879738,False,True,True,True,False,True,True
2026-03-18 14:45:00,2026-03-18 21:55:00,SHORT,1.15436,1.15636,1.14836,1.14836,WIN,5,107.86012299879738,323.58036899639217,11109.59266887613,True,True,True,True,True,True,False
2026-03-19 10:00:00,2026-03-19 12:50:00,SHORT,1.14653,1.14853,1.14053,1.14853,LOSS,5,111.0959266887613,-111.0959266887613,10998.496742187368,False,True,True,True,False,True,False
2026-03-20 01:05:00,2026-03-20 17:15:00,SHORT,1.15924,1.16124,1.15324,1.15324,WIN,5,109.98496742187368,329.95490226562106,11328.451644452989,False,True,True,True,True,True,True
2026-03-20 21:25:00,2026-03-23 12:50:00,SHORT,1.15524,1.15724,1.14924,1.14924,WIN,5,113.28451644452988,339.8535493335896,11668.305193786578,True,True,True,True,True,True,True
2026-03-24 16:15:00,2026-03-24 17:50:00,SHORT,1.1577,1.1597,1.1517,1.1597,LOSS,5,116.68305193786578,-116.68305193786578,11551.622141848713,True,True,True,True,False,True,True
2026-03-25 15:25:00,2026-03-26 14:40:00,SHORT,1.15939,1.16139,1.15339,1.15339,WIN,5,115.51622141848713,346.5486642554614,11898.170806104174,False,True,True,True,False,True,True
2026-03-26 23:25:00,2026-03-30 15:15:00,SHORT,1.15349,1.15549,1.14749,1.14749,WIN,5,118.98170806104173,356.9451241831252,12255.115930287298,False,True,True,True,False,True,False
2026-03-30 15:20:00,2026-03-31 15:05:00,SHORT,1.14811,1.15011,1.14211,1.15011,LOSS,5,122.55115930287299,-122.55115930287299,12132.564770984425,False,True,True,True,False,True,True
2026-03-31 21:15:00,2026-04-01 02:50:00,SHORT,1.15482,1.15682,1.14882,1.15682,LOSS,5,121.32564770984425,-121.32564770984425,12011.239123274581,False,True,True,True,True,True,False
2026-04-01 15:55:00,2026-04-01 17:50:00,SHORT,1.16063,1.16263,1.15463,1.16263,LOSS,5,120.11239123274581,-120.11239123274581,11891.126732041836,True,True,True,True,True,True,False
2026-04-01 20:35:00,2026-04-02 06:55:00,SHORT,1.15998,1.16198,1.15398,1.15398,WIN,5,58.561961057409945,175.68588317222984,12066.812615214065,False,True,True,True,False,True,True
2026-05-11 09:25:00,2026-05-11 11:15:00,SHORT,1.17571,1.17771,1.16971,1.17771,LOSS,5,120.66812615214064,-120.66812615214064,11946.144489061924,False,True,True,True,False,True,False
2026-05-11 18:35:00,2026-05-12 18:25:00,SHORT,1.17815,1.18015,1.17215,1.17215,WIN,5,119.46144489061925,358.38433467185774,12304.528823733783,True,True,True,True,True,True,False
2026-05-12 18:45:00,2026-05-14 19:30:00,SHORT,1.17315,1.17515,1.16715,1.16715,WIN,5,123.04528823733783,369.1358647120135,12673.664688445797,True,True,True,True,False,True,False
2026-05-18 00:35:00,2026-05-18 10:25:00,SHORT,1.16183,1.16383,1.15583,1.16383,LOSS,5,126.73664688445797,-126.73664688445797,12546.92804156134,False,True,True,True,False,True,False
2026-05-18 22:10:00,2026-05-20 11:10:00,SHORT,1.16476,1.16676,1.15876,1.15876,WIN,5,125.4692804156134,376.4078412468402,12923.33588280818,False,True,True,True,True,True,True
2026-05-21 09:45:00,2026-05-25 00:05:00,SHORT,1.16172,1.16372,1.15572,1.16372,LOSS,5,129.2333588280818,-129.2333588280818,12794.102523980098,False,True,True,True,False,True,True
2026-05-25 04:00:00,2026-05-27 15:20:00,SHORT,1.16367,1.16567,1.15767,1.16567,LOSS,5,127.94102523980098,-127.94102523980098,12666.161498740297,True,True,True,True,True,True,True
2026-05-27 16:30:00,2026-05-28 19:20:00,SHORT,1.16409,1.16609,1.15809,1.16609,LOSS,5,126.66161498740297,-126.66161498740297,12539.499883752895,True,True,True,True,False,True,True
2026-05-29 03:40:00,2026-05-29 17:55:00,SHORT,1.16503,1.16703,1.15903,1.16703,LOSS,5,125.39499883752895,-125.39499883752895,12414.104884915365,True,True,True,True,False,True,True
2026-05-29 18:00:00,2026-06-01 16:55:00,SHORT,1.16689,1.16889,1.16089,1.16089,WIN,5,124.14104884915365,372.42314654746093,12786.528031462825,True,True,True,True,True,True,True
2026-06-02 03:10:00,2026-06-02 09:30:00,SHORT,1.16303,1.16503,1.15703,1.16503,LOSS,5,127.86528031462825,-127.86528031462825,12658.662751148197,True,True,True,True,False,True,True
2026-06-02 11:55:00,2026-06-05 16:00:00,SHORT,1.1644,1.1664,1.1584,1.1584,WIN,5,126.58662751148196,379.75988253444586,13038.422633682643,True,True,True,True,False,True,True
2026-06-05 16:05:00,2026-06-05 18:55:00,SHORT,1.15918,1.16118,1.15318,1.15318,WIN,5,130.38422633682643,391.1526790104793,13429.575312693123,False,True,True,True,False,True,True
2026-06-08 01:30:00,2026-06-08 04:00:00,SHORT,1.15137,1.15337,1.14537,1.15337,LOSS,5,134.29575312693123,-134.29575312693123,13295.279559566192,False,True,True,True,False,True,True
2026-06-09 17:00:00,2026-06-11 20:00:00,SHORT,1.15664,1.15864,1.1506399999999999,1.1506399999999999,WIN,5,132.9527955956619,398.85838678698576,13694.137946353178,True,True,True,True,False,True,False
2026-06-12 03:05:00,2026-06-12 12:25:00,SHORT,1.15693,1.15893,1.15093,1.15893,LOSS,5,136.94137946353177,-136.94137946353177,13557.196566889646,False,True,True,True,False,True,True
2026-06-12 15:25:00,2026-06-12 18:25:00,SHORT,1.15626,1.15826,1.15026,1.15826,LOSS,5,135.57196566889647,-135.57196566889647,13421.62460122075,True,True,True,True,False,True,True
2026-06-15 12:15:00,2026-06-17 21:00:00,SHORT,1.16073,1.16273,1.15473,1.15473,WIN,5,134.2162460122075,402.6487380366225,13824.273339257372,False,True,True,True,False,True,False
2026-06-17 21:10:00,2026-06-17 21:40:00,SHORT,1.15456,1.15656,1.14856,1.15656,LOSS,5,138.2427333925737,-138.2427333925737,13686.030605864798,False,True,True,True,False,True,True
2026-06-17 21:45:00,2026-06-17 22:20:00,SHORT,1.15625,1.15825,1.15025,1.15025,WIN,5,136.86030605864798,410.5809181759439,14096.611524040742,False,True,True,True,False,True,True
2026-06-18 09:45:00,2026-06-18 13:05:00,SHORT,1.15255,1.15455,1.14655,1.14655,WIN,5,140.96611524040742,422.89834572122226,14519.509869761963,False,True,True,True,True,True,False
